COD,NOMBRE,CPOST,DPTO
1,SAN JOSE,5519,4
2,VILLA NUEVA,5521,4
3,DORREGO,5519,4
4,BERMEJO,5519,4
5,Pedro Molina,5519,4
6,Jesus Nazareno,5523,4
7,BUENA NUEVA,5523,4
8,Los Corralitos,5527,4
9,EL SAUCE,5533,4
10,R.de la Cruz,5525,4
12,V.Hipodromo,5547,5
13,V.DEL PARQUE,5547,5
14,BENEGAS,5501,5
18,LA PUNTILLA,5505,6
19,CH.DE CORIA,5505,6
20,CARRODILLA,5503,6
21,PERDRIEL,5509,6
22,M. Drummond,5507,6
23,EL CARRIZAL,5509,6
24,COQUIMBITO,5513,7
25,LUZURIAGA,5513,7
26,GUTIERREZ,5511,7
27,R.del Medio,5529,7
28,RUSSELL,5517,7
29,GRAL.ORTEGA,5529,7
30,El Algarrobal,5541,2
31,PANQUEHUA,5539,2
32,F.L.BELTRAN,5531,7
33,El Algarrobal,5607,2
34,JOCOLI,5543,2
35,SANTA BLANCA,5531,0
36,AGRELO,5509,6
37,PALMIRA,5584,8
38,V.DEL CARMEN,5570,8
41,LA CONSULTA,5567,15
44,SAN JOSE,5561,14
45,EL PERAL,5561,14
47,LAS CATITAS,5594,11
50,Rodriguez Peña,5585,0
51,LA CENTRAL,5579,10
52,LA COLONIA,5573,9
54,VILLA ATUEL,5622,17
55,25 DE MAYO,5615,17
57,BOWEN,5634,18
58,COL.ALVEAR O.,5632,18
67,El Plumerillo,5541,2
90,ING.GIAGNONI,5582,8
62,BAHIA BLANCA,,19
63,ROSARIO,2000,20
64,LA PLATA,1900,21
65,Bs.As.,,22
66,C.A.Bs.As.,,23
92,E. Bustos,5569,15
0,,,0
69,USPALLATA,5539,2
70,EL CHALLAO,5539,2
71,MEDRANO,5573,9
97,C.Del Rosario,5523,4
39,LA PEGA,5533,3
40,GODOY CRUZ,5501,5
59,MONTE COMAN,5600,17
53,San Fco.D.Monte,5503,4
42,VISTALBA,5509,6
101,LA PRIMAVERA,5527,4
17,Blanco Encalada,5549,6
43,ALTO VERDE,5582,8
56,Cuadro Benegas,5603,17
60,Cuadro Nacional,5607,17
46,Cruz de Piedra,5517,7
48,EL BORBOLLON,5541,2
49,Real del Padre,5624,17
61,LAS PAREDES,5601,17
68,VISTA FLORES,5565,13
72,SAN ROQUE,5587,7
73,Salto d.l.Rosas,5603,17
74,RAMA CAIDA,5603,17
75,GOUDGE,5603,17
76,Costa de Araujo,5535,3
77,V. Tulumaya,5533,3
78,CHAPANAY,5589,8
79,EL ZAPALLAR,3,2
